date	cpr
2015-01-17	0.0967741935483870967
2015-01-18	0.1000000000000000000
2015-01-19	0E-19
2015-01-20	0.0849673202614379084
2015-01-21	0.0700636942675159235
2015-01-22	0.0833333333333333333
2015-01-23	0.0861423220973782771
2015-01-24	0.1268656716417910447
2015-01-25	0.2530120481927710843
2015-01-26	0.0936170212765957446
2015-01-27	0.1478873239436619718
2015-01-28	0.1056910569105691056
2015-01-29	0.1020408163265306122
2015-01-30	0.0720000000000000000
2015-01-31	0.0579710144927536231
2015-02-01	0.2037037037037037037
2015-02-02	0.0852713178294573643
2015-02-03	0.0958904109589041095
2015-02-04	0.0779220779220779220
2015-02-05	0.0490196078431372549
2015-02-06	0.0952380952380952380
2015-02-07  0.1242236024844720496
2015-02-08	0.1568627450980392156
2015-02-09	0.1140939597315436241
2015-02-10	0.0456273764258555133
2015-02-11	0.0223880597014925373
